team,confederation,qualification_date,qualifying_rank
Mexico,CONCACAF,2020-08-31,1
South Africa,CAF,2026-03-30,4
South Korea,AFC,2025-10-15,1
Czechia,UEFA,2026-03-26,3
Canada,CONCACAF,2020-08-31,1
Bosnia and Herzegovina,UEFA,2026-03-26,3
Qatar,AFC,2025-10-15,2
Switzerland,UEFA,2025-11-18,2
Brazil,CONMEBOL,2025-10-14,2
Morocco,CAF,2025-11-15,1
Haiti,CONCACAF,2025-11-15,3
Scotland,UEFA,2025-11-18,2
USA,CONCACAF,2020-08-31,1
Paraguay,CONMEBOL,2025-10-14,6
Australia,AFC,2025-10-15,2
Türkiye,UEFA,2026-03-26,3
Germany,UEFA,2025-11-18,1
Curaçao,CONCACAF,2025-11-15,3
Ivory Coast,CAF,2025-11-15,1
Ecuador,CONMEBOL,2025-10-14,5
Netherlands,UEFA,2025-11-18,1
Japan,AFC,2025-10-15,1
Sweden,UEFA,2026-03-26,3
Tunisia,CAF,2025-11-15,1
Belgium,UEFA,2025-11-18,1
Egypt,CAF,2025-11-15,1
Iran,AFC,2025-10-15,1
New Zealand,OFC,2025-11-15,1
Spain,UEFA,2025-11-18,1
Cape Verde,CAF,2025-11-15,1
Saudi Arabia,AFC,2025-10-15,2
Uruguay,CONMEBOL,2025-10-14,3
France,UEFA,2025-11-18,1
Senegal,CAF,2025-11-15,1
Iraq,AFC,2025-11-15,3
Norway,UEFA,2026-03-26,3
Argentina,CONMEBOL,2025-10-14,1
Algeria,CAF,2025-11-15,1
Austria,UEFA,2025-11-18,2
Jordan,AFC,2025-10-15,3
Portugal,UEFA,2025-11-18,1
DR Congo,CAF,2025-11-15,2
Uzbekistan,AFC,2025-11-15,3
Colombia,CONMEBOL,2025-10-14,4
England,UEFA,2025-11-18,1
Croatia,UEFA,2025-11-18,2
Ghana,CAF,2025-11-15,1
Panama,CONCACAF,2025-11-15,2
