team,squad_value_eur,avg_age,top5_league_players
England,1200000000,26.1,22
France,1150000000,26.5,23
Portugal,950000000,26.8,21
Spain,900000000,25.8,20
Germany,850000000,27.2,19
Netherlands,750000000,26.6,18
Italy,700000000,26.4,22
Belgium,550000000,26.9,15
Croatia,350000000,27.8,12
Denmark,320000000,27.1,14
Switzerland,280000000,27.4,15
Ukraine,300000000,25.5,11
Austria,250000000,26.8,16
Poland,220000000,27.3,10
Turkey,290000000,25.1,9
Sweden,260000000,26.0,12
Norway,450000000,25.6,13
Scotland,180000000,27.0,8
Wales,140000000,25.9,6
Czech Republic,160000000,26.7,7
Hungary,150000000,26.9,5
Serbia,240000000,27.5,13
Brazil,1000000000,26.3,20
Argentina,850000000,27.1,19
Uruguay,480000000,26.2,12
Colombia,280000000,27.0,9
Ecuador,220000000,25.0,8
Chile,80000000,28.5,3
Paraguay,110000000,26.8,4
Peru,45000000,29.1,1
Venezuela,50000000,26.7,2
Bolivia,15000000,26.1,0
United States,350000000,24.8,14
Mexico,210000000,27.3,6
Canada,180000000,25.7,5
Jamaica,110000000,27.1,4
Costa Rica,30000000,25.8,1
Panama,25000000,26.9,0
Honduras,20000000,26.8,0
Nigeria,450000000,25.9,14
Senegal,300000000,27.2,10
Morocco,380000000,26.4,13
Ivory Coast,320000000,26.1,11
Algeria,200000000,28.0,7
Egypt,130000000,27.8,4
Cameroon,150000000,26.9,6
Ghana,220000000,25.2,9
Mali,160000000,25.4,6
Tunisia,55000000,27.1,2
South Africa,25000000,27.5,0
Japan,280000000,26.0,11
South Korea,180000000,27.1,5
Iran,50000000,28.5,1
Australia,40000000,27.3,2
Saudi Arabia,30000000,27.9,0
Qatar,20000000,27.8,0
Uzbekistan,35000000,25.9,1
Iraq,15000000,25.8,0
United Arab Emirates,25000000,26.6,0
New Zealand,25000000,25.4,1
